Rgr,Nogr,ARY,IRY,CGRY,SMRY,MRY,CRY,TRY,SRY,TTRY,ICRY,URY,AFRY,FRY,RRY,PRY,ASRY,PARY,ERY,HRY,AERY,ORY,EXR,SDR,MPR,CPD,CG,CPS,CCPS,COS,SD,TD,RR,ER,NFA,NDC,EXP,IMP
10.39065613,13.23329602,2566054.08,2728089.04,2092952.36,7780.66,548163.92,207223.47,1183902.65,2741585.57,130938.46,401677.86,44170.28,36485.96,354877.36,636158.33,332454.92,2325.93,425572.60,144511.12,46316.19,4231.08,153242.83,16955.02,4.37,15.00,2.37,485725.53,1534447.78,1507885.18,26562.60,359311.20,1805001.38,157964.37,28542.93,2644672.70,2020173.31,515348.61,122814.63
6.792505283,9.705908145,1842928.91,2998785.54,2478478.27,6818.73,576763.20,209509.10,1133693.41,2487990.54,105397.66,417829.73,42294.76,34173.21,384517.63,508667.63,285386.86,2222.69,379581.34,113347.44,51200.27,4870.01,153157.84,21807.98,4.22,13.00,2.49,593222.99,1666760.10,1642872.20,23887.90,373256.40,2139003.22,185331.80,38517.10,3140484.48,2259983.09,507186.53,108510.30
6.957716803,9.556130749,2110297.14,2821422.92,2231869.16,6615.15,575131.59,236930.11,1192921.30,2584211.91,122622.71,452773.15,44793.07,25990.60,386558.81,577569.67,291604.34,2458.44,404270.13,105858.76,52462.78,4883.68,118624.49,24367.12,4.03,13.00,2.51,341727.83,1840766.40,1816680.50,24085.90,396514.80,2275327.85,200723.10,52261.40,3397866.63,2182494.23,525360.84,143128.27
7.196078691,9.343276349,2822934.94,3044081.65,2449208.93,7517.17,603242.49,198197.25,1138397.73,2560422.66,128491.69,409194.84,41116.47,35915.00,352196.98,616111.74,326910.06,2481.38,382627.22,128062.57,48784.03,4427.31,107182.01,28638.24,3.44,13.00,2.58,603058.00,1986211.20,1937515.00,48696.20,401055.30,2328361.10,257266.30,37948.30,4003941.60,2589269.20,447888.55,120183.50
7.058231304,8.879726184,2740830.55,2810451.05,2134495.08,8748.36,595853.03,223950.53,1325494.77,2991497.13,138619.79,485976.00,47021.05,40138.62,368488.52,706474.66,348677.66,2453.13,445559.04,156174.99,51235.57,4753.95,171930.28,28279.06,3.32,13.00,2.61,306031.90,2007355.82,1950379.82,56976.00,401986.76,2251614.08,101097.30,19302.50,4098471.85,2313387.72,658492.33,149824.48
7.545235849,11.56624051,2021911.07,2947693.13,2364938.38,8622.58,612477.97,241927.24,1336048.38,2779719.01,109946.08,522629.79,42982.79,41733.62,402065.90,569880.00,305476.44,2447.86,416926.52,121937.03,55278.72,5376.74,177622.51,36201.54,2.98,13.00,2.25,471892.32,2126956.63,2040808.14,86148.48,460273.21,2827700.64,127184.30,37991.40,5108959.94,2598848.95,755051.42,135397.41
6.794831467,9.781353461,2251306.08,2828658.56,2212061.85,7122.61,623286.44,242677.67,1365423.91,2865568.06,131468.97,566521.82,44103.10,28700.73,411950.90,648604.54,314176.00,2558.26,419305.37,113018.60,58423.93,5505.07,133419.07,36479.00,2.96,14.00,2.41,360789.37,2303700.52,2257453.79,46246.73,499931.54,3397212.36,163880.60,30930.80,5568810.00,2664489.89,638081.52,246383.73
6.115894457,10.49312757,3059564.07,2929154.37,2278661.07,7896.10,663488.18,216691.05,1319023.77,2836759.01,138226.13,510832.70,44636.30,39123.19,370055.81,685866.23,346769.32,2641.47,393331.65,142350.00,54371.18,4934.49,124142.75,40457.86,2.93,14.00,2.40,-235144.67,2571678.05,2494474.94,77203.11,546394.38,3796320.41,198004.97,2804.28,5718702.29,2336533.37,592773.15,342003.20
6.551134104,10.02187523,2889693.76,2776253.66,2019038.63,9127.56,675038.35,280158.93,1500964.47,3306308.32,150353.57,613236.15,53274.07,44246.11,389133.52,785715.04,369905.49,2610.95,454233.45,180364.57,56649.24,5127.74,174162.95,42298.11,3.25,10.00,2.36,-1936615.74,2650821.45,2556919.73,93901.73,592514.77,3376958.09,108636.80,87012.96,6307859.26,714205.72,548791.64,289535.61
6.329101993,9.492871579,2125878.66,2962721.78,2309958.06,9097.57,694096.58,259266.75,1513542.75,3056223.13,119304.64,656425.43,48677.04,41822.01,430883.16,634744.56,323192.84,2526.25,406821.96,137092.48,63471.96,5881.34,182151.79,42633.86,4.30,10.00,2.14,-2508626.58,3048942.35,2982217.06,66725.29,656109.20,4205015.11,108715.59,5123.89,6997940.78,540315.76,579168.63,414632.84
7.332326126,11.84971858,2433522.44,2721065.24,2002806.00,8011.36,692431.26,307906.25,1581964.19,3209679.79,141320.18,722611.17,51878.63,32695.21,437658.02,718364.85,327470.95,2820.98,445056.38,126425.71,64927.63,6245.43,145403.13,42626.20,3.78,8.00,2.08,-2615012.02,3503722.97,3463443.74,40279.23,681163.76,4590504.24,121107.94,22237.65,7633412.63,888710.95,523750.99,349942.84
7.98531771,10.08981357,3251704.37,2994273.66,2280352.94,9128.27,726760.70,254811.93,1533604.82,3154171.62,147549.95,641368.01,45384.04,46193.98,387177.65,766337.03,371245.59,2812.59,418854.54,157590.84,58381.76,5369.09,127966.82,47930.22,3.05,8.00,2.31,-2462860.99,4203169.48,4144172.66,58996.81,707879.27,5129236.05,140998.80,103971.20,6977270.88,1740308.49,589804.97,384284.12
7.520346622,11.27539521,3147363.65,2654295.87,1878831.31,10636.09,710246.39,287328.19,1731702.34,3741380.50,159333.74,780009.57,49537.71,53011.16,404637.06,885978.45,403888.09,2785.55,488084.86,196667.16,61192.18,5672.87,218551.00,51333.15,3.19,9.50,2.20,-1801303.35,5550611.12,4784245.83,766365.29,753868.76,5142816.34,146739.16,67055.23,7339740.25,3749307.77,613588.70,201907.10
7.688190992,11.69346731,2300659.36,2859421.06,2141161.27,10630.63,740004.19,304031.92,1759013.18,3456994.12,126783.43,839452.40,47558.60,50826.67,449230.65,707432.22,345564.96,2762.96,442659.72,150933.37,67607.60,6552.00,210644.61,59756.51,2.94,9.50,2.06,-2919709.35,6917150.91,5774501.05,1142649.86,850628.37,7461645.17,187188.77,74085.86,8097330.68,3997441.56,942132.96,368973.47
7.175247217,10.00168645,2571279.36,2696305.35,1934637.90,9064.57,749566.97,322374.59,1793051.14,3606887.22,150915.76,919044.24,50500.42,36700.58,459155.52,812297.18,354688.93,2945.72,460568.26,138151.44,71336.22,6804.60,165411.92,59157.15,2.79,10.25,2.02,-2723829.30,7764490.27,6511907.83,1252582.44,913726.91,7459131.20,279217.68,193839.49,8325742.98,5040660.98,1144276.67,543149.87
6.703869034,10.6938248,3492147.02,2845311.04,2066688.67,10076.09,790101.13,280474.66,1759855.95,3560844.57,158304.18,821706.32,49318.40,50674.84,410745.64,858421.52,395236.04,2991.94,432183.58,176187.10,65977.28,6010.88,150163.75,62081.86,2.75,9.75,2.17,-3429809.56,8527429.59,7111207.32,1416222.27,958314.38,8213854.47,147376.34,58109.89,8628352.21,5097620.03,902570.80,444614.58
7.280652878,9.760031257,3281285.24,2667187.53,1805230.51,11697.74,799365.33,347419.15,1940679.97,4167292.87,171809.18,994940.06,57208.47,57999.95,429981.49,981613.57,425550.81,2975.91,501497.69,219038.77,68692.90,6280.31,219978.23,53000.36,2.92,9.75,2.04,-3001597.23,9069360.30,7444674.17,1624686.13,1091812.17,8422201.51,150435.87,128459.85,8629131.99,6067763.07,396109.51,389272.07
8.209257284,11.06029699,2433179.06,2864273.19,2081232.99,9854.23,813671.36,349291.63,1970478.93,3939655.33,140127.59,1097915.18,49818.94,57298.93,467976.48,786980.99,369878.57,2870.42,459609.96,171919.21,74280.13,7343.51,234368.03,47081.90,2.62,9.75,2.07,-2505733.50,9236506.02,7542229.18,1694276.84,1133313.30,8301683.26,147642.80,131227.31,8169069.44,6730772.51,586011.17,425376.32
8.209143244,10.04126411,2716112.81,2761416.67,1947004.45,10584.70,811018.52,376388.36,1990829.23,4047327.03,160143.91,1171205.68,52405.91,42457.73,465520.12,896508.63,381066.77,3144.53,476664.50,162521.80,76244.61,6941.29,176265.82,43462.74,2.67,8.00,2.17,-2012455.48,9294565.87,7669275.44,1625290.43,1169543.08,8393871.54,73177.86,128367.24,7652475.66,7282110.39,674497.43,481802.73
8.755118955,10.1959251,3714711.99,2920761.56,2058846.71,11997.17,850087.80,318349.57,1987076.53,4042975.13,168420.69,1077674.11,50543.01,57388.33,436884.17,956291.01,422529.65,3213.18,453736.31,190947.54,73317.45,6648.75,163412.54,43343.33,2.36,6.00,2.18,-2461629.63,10448981.60,8626591.06,1822390.54,1123355.43,8861541.01,77745.89,764346.46,6915581.48,7987351.98,740149.12,436679.54
8.218465016,8.928019514,3466321.69,2806970.37,1896543.81,13946.06,848633.99,360466.46,2137057.61,4652455.93,181520.29,1249857.84,60378.72,62387.32,457588.76,1087560.91,441689.12,3170.96,527992.79,227403.21,77151.68,7251.59,245974.27,42382.49,3.33,6.00,2.05,-1833752.23,10662453.83,8529572.74,2132881.08,1171917.83,9991429.38,84769.14,343602.33,7324759.63,8828701.60,1057287.83,474611.74
8.883023259,11.87880933,2594759.86,2827621.25,1937631.77,14581.31,875408.17,401383.52,2191342.83,4568370.86,144848.60,1448814.26,55286.10,63135.76,489146.92,888228.37,406164.44,3201.72,497144.68,205686.66,85595.80,7612.18,273505.37,40667.03,3.03,6.00,2.44,-1311957.95,10573320.62,8557831.82,2015488.79,1244299.38,10307773.38,90832.35,527801.37,7040591.51,9261362.67,1024760.96,765741.87
8.765977805,10.11926903,2873377.57,2874320.15,1983894.97,9788.40,880636.78,388550.30,2234196.34,4564086.31,176507.24,1432940.41,51342.43,52906.46,480998.85,972279.83,425057.75,3423.14,479664.73,212773.67,81771.55,6026.04,188394.20,37468.44,1.95,6.00,2.21,-1074701.33,10676253.19,8668810.38,2007442.81,1371283.57,10111887.10,90144.33,276774.46,6472113.05,9601551.87,977726.37,655407.09
10.17079786,11.5662604,4000028.64,2997064.58,2092028.97,12889.15,892146.45,369190.91,2230757.66,4707396.65,177674.29,1489945.88,56275.52,65717.17,453038.03,1062695.86,438721.27,3313.74,471731.97,203304.79,79487.79,7961.30,197529.04,34589.01,1.49,6.25,2.48,-739036.62,10672386.97,8837198.68,1835188.29,1449685.00,10350207.32,92944.76,25212.34,6356916.56,9933350.35,1115777.46,845816.14
10.18041416,8.149205278,3580726.73,3334189.94,2389120.69,14618.94,930450.31,411848.73,2336353.14,5126698.20,195741.68,1583359.13,59360.46,64001.19,485621.32,1204784.14,441754.54,3201.53,549929.49,204906.50,84108.52,9335.41,240594.26,32339.25,1.51,6.25,2.58,324136.19,9279402.54,7367600.12,1911802.42,1589175.36,10580529.06,93261.33,229602.09,6195146.02,9603538.73,1172511.30,625955.32
